Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,,Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,California,Male,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,California,Male,15-24 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,California,Male,25-34 years,49,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,California,Male,35-44 years,141,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,California,Male,45-54 years,340,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,California,Male,55-64 years,675,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,California,Male,65-74 years,974,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,California,Male,75-84 years,986,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,California,Male,85 years and over,894,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,California,Male,All ages,4066,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,California,Female,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,California,Female,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,California,Female,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,California,Female,15-24 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,California,Female,25-34 years,15,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,California,Female,35-44 years,54,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,California,Female,45-54 years,129,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,California,Female,55-64 years,269,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,California,Female,65-74 years,493,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,California,Female,75-84 years,764,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,California,Female,85 years and over,1306,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,California,Female,All ages,3034,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,California,Unknown,All ages,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,California Total,All,All Ages,7100,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Colorado,Male,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Colorado,Male,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
