Active,Confirmed,Date,Deaths,Fatality Rate,Recovered,State,State Abbr,Lat,Lon
11073,11319,2020-06-15,246,0.0217,0,Kansas,KS,38.5266,-96.7265
12142,12647,2020-06-15,505,0.0399,0,Kentucky,KY,37.6681,-84.6701
44154,47172,2020-06-15,3018,0.064,0,Louisiana,LA,31.1695,-91.8678
2709,2810,2020-06-15,101,0.0359,0,Maine,ME,44.6939,-69.3819
59085,62032,2020-06-15,2947,0.0475,0,Maryland,MD,39.0639,-76.8021
98043,105690,2020-06-15,7647,0.0724,0,Massachusetts,MA,42.2302,-71.5301
60067,66085,2020-06-15,6018,0.0911,0,Michigan,MI,43.3266,-84.5361
29358,30693,2020-06-15,1335,0.0435,0,Minnesota,MN,45.6945,-93.9002
18904,19799,2020-06-15,895,0.0452,0,Mississippi,MS,32.7416,-89.6787
15724,16611,2020-06-15,887,0.0534,0,Missouri,MO,38.4561,-92.2884
590,609,2020-06-15,19,0.0312,0,Montana,MT,46.9219,-110.4544
16631,16851,2020-06-15,220,0.0131,0,Nebraska,NE,41.1254,-98.2681
10850,11315,2020-06-15,465,0.0411,0,Nevada,NV,38.3135,-117.0554
5025,5345,2020-06-15,320,0.0599,0,New Hampshire,NH,43.4525,-71.5639
154395,167103,2020-06-15,12708,0.076,0,New Jersey,NJ,40.2989,-74.5210
9405,9845,2020-06-15,440,0.0447,0,New Mexico,NM,34.8405,-106.2485
353088,383944,2020-06-15,30856,0.0804,0,New York,NY,42.1657,-74.9481
43974,45114,2020-06-15,1140,0.0253,0,North Carolina,NC,35.6301,-79.8064
3027,3101,2020-06-15,74,0.0239,0,North Dakota,ND,47.5289,-99.7840
39001,41576,2020-06-15,2575,0.0619,0,Ohio,OH,40.3888,-82.7649
8058,8417,2020-06-15,359,0.0427,0,Oklahoma,OK,35.5653,-96.9289
5640,5820,2020-06-15,180,0.0309,0,Oregon,OR,44.5720,-122.0709
77346,83589,2020-06-15,6243,0.0747,0,Pennsylvania,PA,40.5908,-77.2098
15242,16093,2020-06-15,851,0.0529,0,Rhode Island,RI,41.6809,-71.5118
