Zip Code,State,County,Median Household Income,Land Area in Square Miles
02637,MA,Barnstable County,,0.7
02638,MA,Barnstable County,58750.0,5.9
02639,MA,Barnstable County,46510.0,2.77
02641,MA,Barnstable County,128576.0,2.04
02642,MA,Barnstable County,58056.0,13.88
02643,MA,Barnstable County,,1.89
02644,MA,Barnstable County,90540.0,3.56
02645,MA,Barnstable County,62835.0,16.64
02646,MA,Barnstable County,66771.0,3.01
02647,MA,Barnstable County,146705.0,0.47
02648,MA,Barnstable County,68260.0,9.28
02649,MA,Barnstable County,63657.0,23.25
02650,MA,Barnstable County,66932.0,1.45
02651,MA,Barnstable County,,0.07
02652,MA,Barnstable County,52639.0,8.0
02653,MA,Barnstable County,59938.0,12.04
02655,MA,Barnstable County,72546.0,6.53
02657,MA,Barnstable County,41140.0,9.67
02659,MA,Barnstable County,51033.0,2.05
02660,MA,Barnstable County,49024.0,7.71
02663,MA,Barnstable County,21912.0,1.41
02664,MA,Barnstable County,47873.0,6.94
02666,MA,Barnstable County,61477.0,12.72
02667,MA,Barnstable County,51908.0,18.63
02668,MA,Barnstable County,80296.0,15.08
02669,MA,Barnstable County,100109.0,0.89
02670,MA,Barnstable County,49871.0,2.09
02671,MA,Barnstable County,45769.0,2.01
02672,MA,Barnstable County,205324.0,0.49
02673,MA,Barnstable County,55204.0,9.99
02675,MA,Barnstable County,61365.0,9.03
02702,MA,Bristol County,89833.0,16.79
02703,MA,Bristol County,67039.0,26.81
02713,MA,Dukes County,38333.0,5.06
02715,MA,Bristol County,86823.0,11.45
02717,MA,Bristol County,81150.0,17.68
02718,MA,Bristol County,80211.0,10.35
02719,MA,Bristol County,60326.0,12.33
02720,MA,Bristol County,41910.0,10.87
02721,MA,Bristol County,30180.0,4.09
02723,MA,Bristol County,28120.0,1.6
02724,MA,Bristol County,27390.0,1.86
02725,MA,Bristol County,67396.0,2.37
02726,MA,Bristol County,74141.0,5.53
02738,MA,Plymouth County,80456.0,13.99
02739,MA,Plymouth County,78864.0,17.35
02740,MA,Bristol County,34259.0,5.69
02743,MA,Bristol County,66276.0,18.43
02744,MA,Bristol County,31216.0,1.29
02745,MA,Bristol County,47536.0,10.33
02746,MA,Bristol County,25623.0,2.12
02747,MA,Bristol County,71073.0,48.8
02748,MA,Bristol County,64077.0,22.49
